client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,variation
3238088,7.0,87.0,28.0,U,2.0,50122.48,5.0,8.0,control
7460136,15.0,185.0,48.5,U,2.0,41883.44,5.0,8.0,control
7964576,10.0,130.0,65.0,F,2.0,48391.49,1.0,4.0,control
3091038,4.0,57.0,58.5,U,4.0,1002153.24,6.0,9.0,control
6799854,19.0,237.0,70.5,F,2.0,62361.42,1.0,4.0,control
7471901,15.0,188.0,65.5,M,2.0,76188.03,6.0,9.0,control
8111767,5.0,60.0,50.5,U,2.0,39362.63,6.0,9.0,control
5765309,14.0,178.0,33.0,M,2.0,70380.69,0.0,3.0,control
1730224,12.0,149.0,57.0,F,2.0,23795.52,0.0,3.0,control
3831678,13.0,166.0,27.5,M,2.0,57915.11,6.0,9.0,control
3513370,12.0,152.0,35.0,M,2.0,179490.16999999998,6.0,9.0,control
2622714,15.0,180.0,62.5,F,2.0,155689.90000000002,2.0,5.0,control
4284267,15.0,191.0,54.5,F,2.0,92005.91,0.0,3.0,control
